code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09626,2021-05-10 00:00:00,789.5,787.0,790.0,761.5,0.0,0.00207,796159,622957406.0,-2.599009900990099,808.0
HK.09626,2021-05-11 00:00:00,739.0,729.0,739.5,716.0,0.0,0.00252,970238,706288285.0,-7.369758576874205,787.0
HK.09626,2021-05-12 00:00:00,758.0,778.0,785.0,755.0,0.0,0.00196,752044,581787842.0,6.721536351165981,729.0
HK.09626,2021-05-13 00:00:00,733.0,752.5,752.5,725.0,0.0,0.00194,744634,553059761.0,-3.2776349614395883,778.0
HK.09626,2021-05-14 00:00:00,700.0,705.5,722.5,696.0,0.0,0.00406,1562344,1110091846.0,-6.245847176079734,752.5
HK.09626,2021-05-17 00:00:00,750.0,759.0,767.0,744.0,0.0,0.00214,822449,621907814.0,7.583274273564848,705.5
HK.09626,2021-05-18 00:00:00,769.0,783.0,787.5,761.5,0.0,0.00185,710546,554203108.0,3.1620553359683794,759.0
HK.09626,2021-05-20 00:00:00,794.5,809.5,823.5,788.0,0.0,0.00243,934408,757938323.0,3.3844189016602813,783.0
HK.09626,2021-05-21 00:00:00,807.5,808.0,813.0,791.5,0.0,0.00168,646811,521962568.0,-0.1852995676343422,809.5
HK.09626,2021-05-24 00:00:00,797.5,803.0,810.5,788.0,0.0,0.00161,619280,494499125.0,-0.6188118811881188,808.0
HK.09626,2021-05-25 00:00:00,787.0,796.5,805.0,782.0,0.0,0.00143,548025,436449567.0,-0.809464508094645,803.0
HK.09626,2021-05-26 00:00:00,797.0,813.5,824.0,797.0,0.0,0.00135,517747,421145237.0,2.1343377275580666,796.5
HK.09626,2021-05-27 00:00:00,807.0,805.5,814.5,800.0,0.0,0.00149,572285,463152950.0,-0.9834050399508296,813.5
HK.09626,2021-05-28 00:00:00,805.5,810.0,816.0,805.5,0.0,0.00095,364850,295634480.0,0.5586592178770949,805.5
HK.09626,2021-05-31 00:00:00,831.0,864.0,867.5,831.0,0.0,0.00206,793197,678487185.0,6.666666666666667,810.0
HK.09626,2021-06-01 00:00:00,864.0,876.5,890.5,853.5,0.0,0.00196,754969,666127358.0,1.4467592592592593,864.0
HK.09626,2021-06-02 00:00:00,888.0,894.5,902.0,880.5,0.0,0.00161,620222,555120925.0,2.053622361665716,876.5
HK.09626,2021-06-03 00:00:00,868.0,852.0,870.5,850.5,0.0,0.00168,645461,554967210.0,-4.751257685858022,894.5
HK.09626,2021-06-04 00:00:00,816.0,824.5,829.0,812.0,0.0,0.00346,1328100,1092265788.0,-3.227699530516432,852.0
HK.09626,2021-06-07 00:00:00,849.5,832.5,852.0,820.0,0.0,0.00115,443642,370636890.0,0.9702850212249848,824.5
HK.09626,2021-06-08 00:00:00,819.0,815.5,822.0,810.0,0.0,0.00138,531265,433216490.0,-2.0420420420420418,832.5
HK.09626,2021-06-09 00:00:00,838.0,848.5,854.0,832.0,0.0,0.00095,366229,309851096.0,4.04659717964439,815.5
HK.09626,2021-06-10 00:00:00,839.5,840.0,844.0,828.0,0.0,0.00103,396770,333123865.0,-1.0017678255745435,848.5
HK.09626,2021-06-11 00:00:00,872.0,870.0,887.5,870.0,0.0,0.00139,535177,469524702.0,3.571428571428571,840.0
HK.09626,2021-06-15 00:00:00,895.0,885.0,899.0,871.5,0.0,0.00071,274032,241979531.0,1.7241379310344827,870.0
HK.09626,2021-06-16 00:00:00,868.0,849.0,868.0,845.5,0.0,0.00076,292171,248320153.0,-4.067796610169491,885.0
HK.09626,2021-06-17 00:00:00,865.0,856.0,872.0,851.5,0.0,0.00058,223587,192335754.0,0.8244994110718492,849.0
